url,name,price_bdt,category,image_url,processor,generation,ram,storage,graphics_memory,gpu,display_inch,color,processor,camera_front,camera_rear,battery_mah,network,display_type,processor,storage,os
https://www.ryans.com/asus-x515ea-peacock-blue-laptop,ASUS X515EA Intel Core i3 1115G4 4GB RAM 1TB,51900,laptop,https://www.ryans.com/storage/products/small/asus-x515ea-intel-core-i3-1115g4-4gb-ram-1tb-hdd-11710731761.webp,Core i3,11th (Intel),4GB,1TB HDD,Shared,Intel UHD Graphics,15.6,Peacock Blue,,,,,,,,,
https://www.ryans.com/lenovo-ideapad-slim-3-15amn8-amd-ryzen-3-7320u-8gb-ram-512gb-ssd-laptop,Lenovo IdeaPad Slim 3 15AMN8 AMD Ryzen 3 7320,54000,laptop,https://www.ryans.com/storage/products/small/lenovo-ideapad-slim-3-15amn8-amd-ryzen-3-7320u-31768382733.webp,Ryzen 3,Ryzen,8GB,,Shared,AMD Radeon 610M Graphics,15.6,Abyss Blue,,,,,,,,,
https://www.ryans.com/smart-flairedge-12th-gen-intel-core-i5-1235u-laptop,Smart Flairedge 12th Gen Intel Core i5 1235U,54500,laptop,https://www.ryans.com/storage/products/small/smart-flairedge-12th-gen-intel-core-i5-1235u-8gb-51736834891.webp,Core i5,12th (Intel),8GB,512GB SSD,Shared,Intel Iris Xe Graphics,15.6,Silver,,,,,,,,,
https://www.ryans.com/lenovo-ideapad-slim-3-15ian8-intel-core-i3-n305-laptop,Lenovo IdeaPad Slim 3 15IAN8 Intel Core i3 N3,55500,laptop,https://www.ryans.com/storage/products/small/lenovo-ideapad-slim-3-15ian8-intel-core-i3-n305-11760962006.webp,Core i3,13th Standard (Intel),8GB,512GB SSD,Shared,Intel UHD Graphics,15.6,Arctic Gray,,,,,,,,,
https://www.ryans.com/acer-aspire-3-a325-53-13th-gen-intel-core-i3-1305u-8gb-ram-laptop,Acer Aspire 3 A325-53 13th Gen Intel Core i3,55900,laptop,https://www.ryans.com/storage/products/small/acer-aspire-3-a325-53-13th-gen-intel-core-i3-11765262933.webp,Core i3,13th (Intel),8GB,512GB SSD,Shared,Intel UHD Graphics,15.6,Silver,,,,,,,,,
https://www.ryans.com/acer-travelmate-p214-54-intel-core-i3-1215u-8gb-ram-512gb-ssd-black-laptop,Acer TravelMate P214-54 Intel Core i3 1215U 8,57500,laptop,https://www.ryans.com/storage/products/small/acer-travelmate-p214-54-intel-core-i3-1215u-8gb-11747220853.webp,Core i3,12th (Intel),8GB,512GB SSD,Shared,Intel UHD Graphics,14,Black,,,,,,,,,
https://www.ryans.com/tecno-megabook-k15s-amd-ryzen-5-7430u-slim-laptop,TECNO Megabook K15S AMD Ryzen 5 7430U 16GB DD,57500,laptop,https://www.ryans.com/storage/products/small/tecno-megabook-k15s-amd-ryzen-5-7430u-16gb-ddr4-11755944850.webp,Ryzen 5,Ryzen,16GB,512GB SSD,Shared,AMD Radeon Graphics,15.6,Silver,,,,,,,,,
https://www.ryans.com/smart-flairedge-intel-core-i5-1235u-laptop,Smart Flairedge Intel Core i5 1235U 8GB RAM 5,59000,laptop,https://www.ryans.com/storage/products/small/smart-flairedge-intel-core-i5-1235u-8gb-ram-512gb-11741682632.webp,Core i5,12th (Intel),8GB,512GB SSD,Shared,Intel Iris Xe Graphics,16,Silver,,,,,,,,,
https://www.ryans.com/dell-15-dc15250-series-1-intel-core-3-100u-laptop,Dell 15 DC15250 Series 1 Intel Core 3 100U 8G,59000,laptop,https://www.ryans.com/storage/products/small/dell-15-dc15250-series-1-intel-core-3-100u-8gb-11766035518.webp,Core 3,Core Series 1,8GB,512GB SSD,Shared,Intel Graphics,15.6,Carbon Black,,,,,,,,,
https://www.ryans.com/asus-vivobook-go-15-l1504fa-ryzen-5-7520u-15.6-inch-display-laptop,ASUS VivoBook Go 15 L1504FA Ryzen 5 7520U 8GB,59500,laptop,https://www.ryans.com/storage/products/small/asus-vivobook-go-15-l1504fa-ryzen-5-7520u-8gb-ram-11737121448.webp,Ryzen 5,Ryzen,8GB,512GB SSD,Shared,AMD Radeon 610M Graphics,15.6,Mixed Black,,,,,,,,,
