p_name,release_date,specs,price_bdt,category,source
ZTE nubia RedMagic 10 Air,2026,ZTE nubia RedMagic 10 Air | Review: ,61490,smartphone,Dazzle
Xiaomi Poco C85,2026,Xiaomi Poco C85 | Review: ,16990,smartphone,Dazzle
Vivo Y500,2026,Vivo Y500 | Review: ,28990,smartphone,Dazzle
ZTE nubia RedMagic 10 Pro,2026,ZTE nubia RedMagic 10 Pro | Review: ,120990,smartphone,Dazzle
ZTE nubia RedMagic 10S Pro,2026,ZTE nubia RedMagic 10S Pro | Review: ,115990,smartphone,Dazzle
Realme 15T,2026,Realme 15T | Review: ,35990,smartphone,Dazzle
Oppo A6 Max,2026,Oppo A6 Max | Review: ,34990,smartphone,Dazzle
Motorola Moto G06,2026,Motorola Moto G06 | Review: ,23990,smartphone,Dazzle
Motorola Moto G06 Power,2026,Motorola Moto G06 Power | Review: ,15190,smartphone,Dazzle
Motorola Edge 60 Neo,2026,Motorola Edge 60 Neo | Review: ,63990,smartphone,Dazzle
Motorola Moto G64 5G,2026,Motorola Moto G64 5G | Review: ,18490,smartphone,Dazzle
Xiaomi Poco C55,2026,Xiaomi Poco C55 | Review: ,10490,smartphone,Dazzle
Motorola Moto G Stylus 5G (2026),2026,Motorola Moto G Stylus 5G (2026) | Review: ,74990,smartphone,Dazzle
Realme C85 Official,2026,Realme C85 Official | Review: ,20999,smartphone,Dazzle
vivo iQOO Z11x,2026,vivo iQOO Z11x | Review: ,26990,smartphone,Dazzle
Motorola Edge 70 Fusion,2026,Motorola Edge 70 Fusion | Review: ,36690,smartphone,Dazzle
vivo Y05,2026,vivo Y05 | Review: ,13990,smartphone,Dazzle
Samsung A07 official,2026,Samsung A07 official | Review: ,14990,smartphone,Dazzle
Samsung Galaxy F70e,2026,Samsung Galaxy F70e | Review: ,24990,smartphone,Dazzle
ZTE nubia Z80 Ultra,2026,ZTE nubia Z80 Ultra | Review: ,101990,smartphone,Dazzle
Realme 15 Lite,2026,Realme 15 Lite | Review: ,24990,smartphone,Dazzle
Realme P4 Power,2026,Realme P4 Power | Review: ,35990,smartphone,Dazzle
Realme 16,2026,Realme 16 | Review: ,49990,smartphone,Dazzle
Motorola Edge 70,2026,Motorola Edge 70 | Review: ,42190,smartphone,Dazzle
Motorola Moto G17,2026,Motorola Moto G17 | Review: ,24990,smartphone,Dazzle
Realme GT8 Pro,2026,Realme GT8 Pro | Review: ,69990,smartphone,Dazzle
Realme GT8,2026,Realme GT8 | Review: ,57990,smartphone,Dazzle
Realme C85,2026,Realme C85 | Review: ,33990,smartphone,Dazzle
Realme C85 Pro,2026,Realme C85 Pro | Review: ,19990,smartphone,Dazzle
vivo Y19s 5G,2026,vivo Y19s 5G | Review: ,13990,smartphone,Dazzle
Motorola Moto G57 Power,2026,Motorola Moto G57 Power | Review: ,21988,smartphone,Dazzle
